addr,gold
0x8d2a10c2c7e05ccdaf0b9e61c6fb9131987fe475,1.312901
0x36675bf929727d38057b7a5a03d78c5df98166c8,1.309899
0x029227b42a95037305325f083c3b083fb48e803e,1.304074
0xe0948c933ff574d58db56f47fbafc27c3348eaed,1.303518
0x1abaa3bf12034e680315cc115612645818e6e748,1.298435
0x81162161234f9b67b50e82b876f159dd5ed78fbd,1.272809
0xed1c29ade015e3dd110325d70ec07fd55215edfb,1.271193
0xabe2bee5080af9bb7ba8b1426b25f120bc19e233,1.253017
0xf12d94b7558b002f60d93eedce3cab3019ce0031,1.235984
0x24f22b798716d511e30baf9a3524b6546a4b05ca,1.235271
0xef532911656c39c6bc23fbabd05f816055949cf7,1.221999
0xba918b00c436f405b87888b8ac1629a99af8125b,1.208015
0x4f24045ea9cff53633c44abb59275b2c8dbb2175,1.164346
0xae69719767e23d7e7e32912eb720eab9d52aab6d,1.163890
0xf3d476566bcc8e882a3910f1471428522449d89e,1.155256
0x1c4f553fc8696cdae3cf041053fbcfdfabfba38a,1.141877
0x0e230a71bc8a8a2170eea273c8f40d33f85d6bf9,1.097121
0xda436db56e7d5d7ceeb20003fc63acd4d8b465ba,1.086256
0xb10836933f34c5a0dc159c918a24435ab4e53908,1.063853
0xb72ed8401892466ea8af528c1af1d0524bc5e105,1.058496
0x9afb4e4eda99fdeec1343bc7de4108beacec1d70,1.053384
0x92c98285230ac5e47012c63456c0e2e94e934ff9,1.030226
0xffc4583bc9204057b5b2e94b7922fab07e0486fd,1.012981
0x112af92409b81bd996cd3aa6d33d366e19230fea,1.004358
0xbe7b0d822f239bca5e65815b8cf9f74ebf202600,0.980563
0xa4cadbe8898d5f718c3fed7a3aedc323765cd993,0.974455
0x461462fc0a8c05ffb5b5fe2e82b3a3ab292db23a,0.970288
0x1e56bff5ea6643985008521650df481132aad5ad,0.960604
0x6f133b985501dbc3a697fb5244924b57c5ac8c72,0.943946
0x2d832b4e4b39208109f4a6ffafeaaf4d6c63b57f,0.939456
0x1af86eec2d46160b784ab7f4ff9c62ec7294d762,0.928790
0x28db92fdf955eed69296b1f2e2811b701d726618,0.913185
0xea32a33300d64bddb9f09a8308d44c23616ec706,0.906342
0x9b0b951bd63fffb1d0c227a2b610215ce47157bd,0.898286
0x9a0f62b9a86187a03f4459d3130e9792eee8aeb9,0.893156
0x11ef981ebd7202b15db301aab4add70af80ffbe7,0.893116
0x863a75356a04d4fa3d30f4a518a136fe27097eb3,0.875232
0xfe95b935eabda9fc47233223c057c590e95ce47b,0.874043
0x2c393c36cb1d1453af8797658b2d7346d2aeb6e9,0.873261
0x584251d66357e06c1a6d19bde0ec0239eb75aee4,0.873259
0x143869b4f47e67e4cc87cc4574f19e3087d3e9ac,0.873259
0x0c14466009c658b3d52f2cc1b8394203fc8227ce,0.873259
0x042239a49c6467eb1cc71f0ca3244a61d563a0c2,0.873259
0xa89c876be69223295a0925d7a62cb6868dec4ac8,0.873259
0xff5c5cbf983022f79ba634c197569e0cc547bbfa,0.873259
0xbb1354944009f984e86a9550c87af91f66cde49d,0.860317
0x49ea3ca642e40a26cecc9789fc7da37c90cef943,0.848260
0x90102f0dc70d0b71a0f0d7069f33d1df62527464,0.832144
0xe2ce9e112276eb66f44a55f68c78af32fb6d5a24,0.783323
0x0f8b8801a738ba366b1703c35057c0fa6bcef5dd,0.762966
0x696c9b7dd5fcadbfa0b1170bee6517e87598dcdb,0.762706
0x4245263356132b286696d16e763cb92ea08d25bb,0.739969
0x825483c3e50568dc4722627e6d390c2061e2eb52,0.723352
0xf4ff8a374f68c4d777ad48f4c0cb3ea178cae079,0.714750
0xa4431568a51b80bb47d60e94f6294ba137a72848,0.713164
0xa180c972cc5109de0e16dd6c7d4d34c2070abfb1,0.697756
0x8d442d8407314dca5e90e7da8f5b3583c70a1426,0.693254
0x532ba976c9fde21358e74d54b0e0a205e979ec52,0.682532
0x863c888899e43e27c2d7ed33a785d99dc52c79f6,0.671232
0x4a4a2fa0cf9ee113b9d026e93edd835edae048eb,0.664708
0x0424e057c2d0bc7e58c75975aaf38bf1e598cd49,0.661853
0x3598838cf93b8176482b93178bd7e930f522f7ce,0.661560
0x464a434766487ee84eb50b93693fe9df5b531641,0.661560
0x138c0085bbdc4229b7584f90d2dbdde72d3c2383,0.661123
0xdd1ecae49312f5a2fef65d13327e92d32864fdee,0.654059
0x400777c21bf9abf52cc556186ee1c35ebf9dbc51,0.648404
0xfac17ffb8e4efa294d99ec4e0d25bce791a5a148,0.645513
0x7990bc43ac323b5566a8c4abd7cc3e8f5bf186c0,0.637286
0x1c37f4c4a9eb84fc104182eb25781f7d43cabf29,0.627840
0xdb7981cbab9cbfa6dd2ed7f25bbf006bd93cda52,0.625665
0xebcd54d901596ce65fa504d96a397e8463d6262d,0.623891
0xd822afc905cea78079270cc267275b267dfe4209,0.618878
0xbdcb484b4900f094cfd785fd25a151c68a4dc5e5,0.608536
0x98f654450c796a41b76cb2a3731bf22ab5d32da9,0.599232
0x083df0282ab7680098af6059f0422ef87900d22d,0.590216
0x835c00497c17fec47bbf083bbe3d802b79ab0dea,0.586506
0x1c943ffc835bfccd2a435e7be3507ef821ac06e2,0.583913
0x17542b7743723203c5ed9ce86cebc49089b1ef97,0.580432
0x90cc95bb898e89ed267ba97d70af75619c490c35,0.576175
0x15c8e8a6079f2987e41afc412d31709fa0098b45,0.573352
0x5221fe845a6eb381af787196d70cda5cda6dece4,0.572399
0x13c18be59c47eed0711ea63626d7bd9a834ac011,0.568080
0x54f8a6a355f4c4929e55524afa8671a3cfc960f3,0.559274
0x760fcb963776328bf5592d6fed97457315c68d5c,0.558772
0x6f4fa4581e5096a3eae211cf16f14018927034fb,0.554559
0x3df883542ca0037346acff9417ff6a7d68204096,0.544753
0x1ae8703497900263eca1a01aefcd2016ec85a6c4,0.541655
0x870930653f75a177403931cc974ead581a3c4dfd,0.536238
0x2e67494a6efbaa66f932bce73152f99d7f56288e,0.529248
0x26f6103454ef691fea860deb73616986e74479bf,0.527803
0x401eb34fb48176ebaa88f56597f6c7ac68abc740,0.524744
0xa0e7c0ea2c8d124f2c83cc50b862bff034646989,0.523956
0xf327463e021549076977f24c326057abc65a5ce2,0.512447
0xead537a6ba166c943c5b9ed72bd12069d73715f0,0.509401
0x0d38213f35178f4671ddb7012025dee7e1e3aa6a,0.495939
0x19014399b9fd0ab20aaaeea61e198e24126ee1d7,0.494847
0x7d8730a07fc00ada586e60f7f914d5993b22a327,0.494308
0xb81d5849b51b769ab7007e16505a32fadc788d58,0.491931
0x71535aae1b6c0c51db317b54d5eee72d1ab843c1,0.487634
0xf1c67a39013628441f150d890f8c765fa385d0e1,0.476276
0xf7f9dc517e41af495bf89652200e75a1222e191b,0.475205
0xa53966f5de522b8e3b6d5e4a764b208013dcea25,0.472174
0x1f7a2a384d3760f5381fa1017ef6fd889a90bd47,0.471466
0xfbb91c46b92dde183e09944ff3e5929988213e33,0.469880
0x5643534e43005e18cb86c3334f81ba8580ca1303,0.469641
0x0d0c49cc70384d25fc2ca507a613488b1528c59c,0.467025
0x258db3c398e00b32a12e630261ba2f62a38544f2,0.466960
0x06c6c385889dcbce38c6342368ff9dd496820aa9,0.466937
0xa8af1b80c6bb63f2c94ad8cd74cace54486600e7,0.466268
